exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
rjtuP6X,0,right_hip_angle,140.77,"(0.500,0.397)",start
rjtuP6X,0,right_knee_angle,99.0,"(0.623,0.528)",start
rjtuP6X,3,right_hip_angle,157.7,"(0.507,0.397)",quarter
rjtuP6X,3,right_knee_angle,137.13,"(0.570,0.544)",quarter
rjtuP6X,6,right_hip_angle,175.29,"(0.510,0.406)",peak
rjtuP6X,6,right_knee_angle,161.25,"(0.509,0.590)",peak
rjtuP6X,9,right_hip_angle,167.77,"(0.516,0.406)",return
rjtuP6X,9,right_knee_angle,143.12,"(0.550,0.571)",return
rjtuP6X,11,right_hip_angle,143.03,"(0.507,0.410)",end
rjtuP6X,11,right_knee_angle,109.32,"(0.624,0.563)",end
