exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
p5v6rdT,0,left_hip_angle,171.81,"(0.498,0.454)",start
p5v6rdT,0,left_knee_angle,178.12,"(0.682,0.451)",start
p5v6rdT,0,right_hip_angle,169.18,"(0.496,0.510)",start
p5v6rdT,0,right_knee_angle,176.12,"(0.691,0.530)",start
p5v6rdT,3,left_hip_angle,176.66,"(0.491,0.470)",quarter
p5v6rdT,3,left_knee_angle,167.81,"(0.682,0.486)",quarter
p5v6rdT,3,right_hip_angle,134.89,"(0.492,0.488)",quarter
p5v6rdT,3,right_knee_angle,144.78,"(0.576,0.373)",quarter
p5v6rdT,6,left_hip_angle,174.32,"(0.488,0.474)",peak
p5v6rdT,6,left_knee_angle,179.23,"(0.672,0.477)",peak
p5v6rdT,6,right_hip_angle,123.64,"(0.492,0.484)",peak
p5v6rdT,6,right_knee_angle,130.2,"(0.560,0.339)",peak
p5v6rdT,9,left_hip_angle,143.99,"(0.486,0.465)",return
p5v6rdT,9,left_knee_angle,159.46,"(0.618,0.388)",return
p5v6rdT,9,right_hip_angle,165.03,"(0.492,0.487)",return
p5v6rdT,9,right_knee_angle,141.6,"(0.649,0.422)",return
p5v6rdT,11,left_hip_angle,158.61,"(0.482,0.444)",end
p5v6rdT,11,left_knee_angle,157.69,"(0.626,0.391)",end
p5v6rdT,11,right_hip_angle,172.9,"(0.492,0.490)",end
p5v6rdT,11,right_knee_angle,163.63,"(0.679,0.489)",end
